seed,accuracy,loss,images,inference_seconds,realization_seconds,total_physical_cells,singleton_state_cells,unique_raw_curves_used
10000,67.44,1.5279352661132812,10000,22.26800686866045,0.4713418781757355,14155776,0,31721
10001,65.97,1.5429879776000976,10000,22.628751255571842,0.1824672408401966,14155776,0,31722
10002,65.71,1.5688064361572265,10000,21.424113769084215,0.6584953926503658,14155776,0,31712
10003,65.49,1.5789098037719727,10000,21.673763435333967,0.4616522528231144,14155776,0,31695
10004,67.32,1.4795192825317383,10000,21.55723623931408,0.616399247199297,14155776,0,31733
10005,65.19,1.5779847198486328,10000,21.59991791844368,0.6198113076388836,14155776,0,31718
10006,66.64,1.5286258728027344,10000,21.602784000337124,0.21620163694024086,14155776,0,31741
10007,66.1,1.5370836303710937,10000,21.63464132323861,0.29918719828128815,14155776,0,31716
10008,64.94,1.5879357604980469,10000,21.555354554206133,0.08707363158464432,14155776,0,31715
10009,65.98,1.562417807006836,10000,21.570080544799566,0.14499065652489662,14155776,0,31695
10010,67.23,1.505467626953125,10000,21.56310920789838,0.08880060166120529,14155776,0,31703
10011,66.26,1.510132945251465,10000,21.56895535811782,0.1795676201581955,14155776,0,31718
10012,64.5,1.6425901794433593,10000,21.561753571033478,0.11176071688532829,14155776,0,31718
10013,67.38,1.5091579147338867,10000,21.57927642762661,0.18093790858983994,14155776,0,31704
10014,65.55,1.5643963027954102,10000,21.449574325233698,0.08226469159126282,14155776,0,31731
10015,64.93,1.6209625686645508,10000,21.521438978612423,0.19916418567299843,14155776,0,31704
10016,65.81,1.5579891845703124,10000,21.59067291766405,0.08038517087697983,14155776,0,31706
10017,66.14,1.5796565490722656,10000,21.551988530904055,0.22227764874696732,14155776,0,31698
10018,66.53,1.5295112838745117,10000,21.506530050188303,0.0761665478348732,14155776,0,31720
10019,66.69,1.5265329650878907,10000,21.690841481089592,0.07290148735046387,14155776,0,31717
10020,66.33,1.572963751220703,10000,21.424387574195862,0.1551545187830925,14155776,0,31710
10021,66.82,1.5295340911865234,10000,21.55217259004712,0.1334509663283825,14155776,0,31717
10022,66.66,1.5196774307250978,10000,21.54618688672781,0.14774735644459724,14155776,0,31709
10023,65.98,1.5570901794433594,10000,21.561646413058043,0.16802268475294113,14155776,0,31750
10024,65.65,1.5856832458496093,10000,21.490352112799883,0.13870124518871307,14155776,0,31716
10025,67.86,1.4599918472290039,10000,21.570141978561878,0.14601543545722961,14155776,0,31714
10026,65.67,1.5598524795532227,10000,21.39489698037505,0.1736673079431057,14155776,0,31722
10027,65.98,1.5596681243896484,10000,21.547297805547714,0.20660801976919174,14155776,0,31709
10028,66.07,1.5428402069091798,10000,21.57933521643281,0.1750868298113346,14155776,0,31714
10029,65.98,1.578998341369629,10000,21.545719131827354,0.13845673203468323,14155776,0,31737
10030,68.25,1.4406752716064453,10000,21.507715608924627,0.19399196282029152,14155776,0,31708
10031,65.95,1.5282634521484375,10000,21.58370577543974,0.13469604030251503,14155776,0,31701
10032,65.45,1.5804998168945312,10000,21.537821155041456,0.16517839580774307,14155776,0,31722
10033,64.59,1.5922924575805664,10000,21.532405447214842,0.18928496539592743,14155776,0,31715
10034,64.65,1.5945845748901366,10000,21.4569727294147,0.141080129891634,14155776,0,31683
10035,66.86,1.4970098251342774,10000,21.56546526402235,0.20084837451577187,14155776,0,31705
10036,65.13,1.6427667083740234,10000,21.49678935483098,0.1466904878616333,14155776,0,31723
10037,65.5,1.576432258605957,10000,21.565278358757496,0.13846087455749512,14155776,0,31698
10038,65.92,1.5994471450805665,10000,21.388491049408913,0.176007192581892,14155776,0,31722
10039,65.8,1.5665438491821289,10000,21.552703268826008,0.19497322291135788,14155776,0,31709
10040,68.17,1.4739326065063476,10000,21.50984936580062,0.1891968622803688,14155776,0,31715
10041,65.51,1.5740497650146483,10000,21.542061768472195,0.13495216518640518,14155776,0,31725
10042,66.38,1.5051946426391603,10000,21.505292285233736,0.1555674858391285,14155776,0,31707
10043,64.78,1.6127160568237304,10000,21.53013278543949,0.18866006284952164,14155776,0,31713
10044,67.64,1.5024575790405272,10000,21.489035543054342,0.17374978587031364,14155776,0,31732
10045,66.81,1.540682894897461,10000,21.549184661358595,0.1485203094780445,14155776,0,31712
10046,66.01,1.570245671081543,10000,21.492216613143682,0.18492265418171883,14155776,0,31722
10047,66.17,1.5328405044555664,10000,21.559488464146852,0.1395651288330555,14155776,0,31715
10048,66.32,1.5340603057861328,10000,21.47661715745926,0.18141573294997215,14155776,0,31688
10049,64.24,1.630975537109375,10000,21.52943693846464,0.12249824032187462,14155776,0,31722
10050,62.84,1.7258229461669923,10000,21.379590719938278,0.19922372326254845,14155776,0,31709
10051,64.81,1.6187428268432618,10000,21.536199685186148,0.12848308309912682,14155776,0,31738
10052,65.98,1.4839256713867188,10000,21.516879092901945,0.1940615475177765,14155776,0,31706
10053,67.36,1.5011800277709961,10000,21.620032723993063,0.06404303759336472,14155776,0,31737
10054,65.36,1.5946872329711914,10000,21.49253510311246,0.15360620617866516,14155776,0,31727
10055,66.52,1.5234865844726562,10000,21.56358615309,0.13720791414380074,14155776,0,31710
10056,67.56,1.4829294326782227,10000,21.474905502051115,0.18810636177659035,14155776,0,31701
10057,66.36,1.5457164672851562,10000,21.59457316994667,0.1335403397679329,14155776,0,31747
10058,65.03,1.6202989486694337,10000,21.512611158192158,0.2947242930531502,14155776,0,31703
10059,67.06,1.5067500717163087,10000,21.638697009533644,0.08167116716504097,14155776,0,31715
10060,65.52,1.5921282287597656,10000,21.42158580943942,0.16317233815789223,14155776,0,31699
10061,67.04,1.4652680755615235,10000,21.57723043859005,0.13630100339651108,14155776,0,31713
10062,66.27,1.529527293395996,10000,21.4245545566082,0.1449941024184227,14155776,0,31717
10063,67.44,1.4716576248168944,10000,21.526895597577095,0.17562195658683777,14155776,0,31723
10064,65.75,1.5334666275024413,10000,21.52602243795991,0.1638808436691761,14155776,0,31726
10065,64.19,1.6359594436645508,10000,21.564944345504045,0.1497487537562847,14155776,0,31719
10066,66.72,1.5183281051635742,10000,21.46908811852336,0.1281285136938095,14155776,0,31717
10067,66.55,1.5264862899780274,10000,21.594367310404778,0.13662772253155708,14155776,0,31728
10068,67.0,1.4793728759765625,10000,21.41132739186287,0.1268705241382122,14155776,0,31720
10069,65.0,1.6274892425537109,10000,21.560785938054323,0.15738819539546967,14155776,0,31730
10070,65.21,1.5869718490600586,10000,21.49541736394167,0.06739779934287071,14155776,0,31748
10071,67.4,1.4881244842529298,10000,21.563242588192225,0.1354975588619709,14155776,0,31713
10072,65.31,1.6094333236694336,10000,21.58059574663639,0.0733640044927597,14155776,0,31692
10073,66.92,1.4801153732299805,10000,21.56685746461153,0.19462565332651138,14155776,0,31731
10074,65.13,1.6077212127685547,10000,21.589876767247915,0.09691096469759941,14155776,0,31725
10075,65.41,1.5625029724121093,10000,21.542881030589342,0.13378336653113365,14155776,0,31707
10076,67.78,1.471110125732422,10000,21.577317614108324,0.08449698612093925,14155776,0,31716
10077,66.38,1.5571664642333984,10000,21.546888168901205,0.1323525346815586,14155776,0,31710
10078,67.52,1.4454718322753906,10000,21.510646298527718,0.16765247657895088,14155776,0,31731
10079,67.29,1.4476147674560547,10000,21.56271058693528,0.13645081222057343,14155776,0,31723
10080,67.85,1.4658225814819337,10000,21.528277929872274,0.16842595115303993,14155776,0,31707
10081,66.54,1.5169008178710937,10000,21.560196984559298,0.1964038386940956,14155776,0,31710
10082,65.36,1.6015479370117187,10000,21.505203060805798,0.13220910355448723,14155776,0,31701
10083,67.24,1.5368007736206055,10000,21.621340300887823,0.1283607929944992,14155776,0,31727
10084,65.97,1.5423106887817384,10000,21.467599257826805,0.17268932983279228,14155776,0,31717
10085,64.7,1.5738370178222656,10000,21.607623048126698,0.07096249610185623,14155776,0,31704
10086,66.69,1.4883402908325196,10000,21.556076165288687,0.13431500270962715,14155776,0,31699
10087,67.52,1.4967599411010741,10000,21.57075498998165,0.1447148732841015,14155776,0,31705
10088,61.89,1.786502244567871,10000,21.498278241604567,0.19589966163039207,14155776,0,31731
10089,66.38,1.540576806640625,10000,21.581550132483244,0.13712502270936966,14155776,0,31715
10090,67.54,1.4741298141479493,10000,21.532284144312143,0.18128827586770058,14155776,0,31721
10091,65.54,1.582109312438965,10000,21.56007121875882,0.1685425341129303,14155776,0,31725
10092,66.19,1.5345971313476563,10000,21.528928861021996,0.14228107035160065,14155776,0,31702
10093,67.92,1.4665727447509767,10000,21.547158781439066,0.12713629007339478,14155776,0,31749
10094,67.0,1.5270163436889648,10000,21.518578946590424,0.1548459678888321,14155776,0,31733
10095,60.84,1.8066187911987304,10000,21.505403392016888,0.12440412119030952,14155776,0,31719
10096,64.31,1.6134759170532227,10000,21.50055306777358,0.15173880383372307,14155776,0,31713
10097,65.71,1.5847447967529298,10000,21.5646644346416,0.16215906292200089,14155776,0,31716
10098,65.76,1.5561711013793946,10000,21.617090810090303,0.0821850560605526,14155776,0,31702
10099,65.04,1.567864764404297,10000,21.539757411926985,0.12932856380939484,14155776,0,31697
10100,66.69,1.5389597442626952,10000,21.59044085070491,0.15003562346100807,14155776,0,31715
10101,65.37,1.5724822265625,10000,21.598392333835363,0.31497707962989807,14155776,0,31716
10102,66.93,1.5106311386108398,10000,21.528211034834385,0.1769290268421173,14155776,0,31713
10103,64.91,1.593377310180664,10000,21.54502734914422,0.18010817095637321,14155776,0,31714
10104,65.84,1.5976915542602539,10000,21.50624443590641,0.14256912097334862,14155776,0,31725
10105,67.71,1.4665566192626953,10000,21.58647207915783,0.14054157584905624,14155776,0,31713
10106,65.11,1.5970420059204102,10000,21.54106856137514,0.16632569953799248,14155776,0,31712
10107,66.07,1.5394543121337891,10000,21.53208263218403,0.19467363506555557,14155776,0,31708
10108,65.14,1.559655438232422,10000,21.555024810135365,0.13393612205982208,14155776,0,31712
