"model_type","scope","accuracy_percent","cross_entropy","count","finite_ratio","mean_A","abs_mean_A","p01_A","p50_A","p99_A","abs_max_A","near_zero_ratio","tia_saturation_ratio"
"hybrid","all_cim_layers",70.98,1.271237459373474,4792320,1,-7.774277221983539e-09,7.767191050334077e-07,-2.990941311509232e-06,-2.5952111570859415e-09,2.900552999562933e-06,9.703724572318606e-06,0.0009294037008658051,0
"physical","all_cim_layers",71.97,1.2772061151504517,5990400,1,-1.233226498698059e-07,4.168495252088178e-06,-1.100147892429959e-05,-1.0833095984708052e-06,2.206759927503299e-05,4.634107244783081e-05,0.00016760149446781725,0.02744941972196102
